#;HV0;HV1;HV2;HV3;HV4;HV5;HV6;HV7;
Statistics
Average;12486.99000;12485.92000;12487.08000;12490.06000;12484.49000;12486.29000;12490.25000;12487.22000;
Std Dev.;1.195784;0.996795;1.163443;1.215072;1.081619;1.194111;0.993730;1.300615;
Min;12484;12484;12485;12488;12481;12484;12488;12484;
Max;12490;12489;12489;12494;12487;12489;12493;12490;
Max-Min;6;5;4;6;6;5;5;6;

#;HV0;HV1;HV2;HV3;HV4;HV5;HV6;HV7;
Statistics
Average;137365.45000;137390.68000;137397.18000;137403.70000;137351.15000;137415.19000;137436.04000;137429.92000;
Std Dev.;1.291317;1.489161;1.525647;1.500000;1.344433;1.566493;1.377824;1.460685;
Min;137363;137387;137394;137400;137348;137411;137432;137426;
Max;137369;137394;137403;137407;137355;137419;137440;137433;
Max-Min;6;7;9;7;7;8;8;7;

DMMmin (V);5.00410;5.00410;5.00410;5.00410;5.00410;5.00410;5.00410;5.00410;
DMMmax (V);55.03700;55.03700;55.03700;55.03700;55.03700;55.03700;55.03700;55.03700;
ADCmin (LSB);12486.99000;12485.92000;12487.08000;12490.06000;12484.49000;12486.29000;12490.25000;12487.22000;
ADCmax (LSB);137365.45000;137390.68000;137397.18000;137403.70000;137351.15000;137415.19000;137436.04000;137429.92000;
GainF(V/LSB);0.999885;0.999674;0.999632;0.999603;0.999979;0.999481;0.999346;0.999371;
OffsetF (LSB);2.877701;6.578127;5.952213;3.326270;4.197510;8.622517;6.351791;9.072741;

Verification
ADCmin To V;5.004100;5.004100;5.004100;5.004100;5.004100;5.004100;5.004100;5.004100;
Diff ADCmin;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
ADCmax To V;55.037000;55.037000;55.037000;55.037000;55.037000;55.037000;55.037000;55.037000;
Diff ADCmax;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
