-------------------------------------------------
Memory Layout Global Parameters:
/FEB_CONFIG/ASICS/ASIC3:
;Mapped to DPRAM Configuration Device[3]
;DPRAM Total Size (all devices) = 16384 bits (1024 x 16-bits)
;DPRAM Total Nb. of Address lines = 10 (16-bits data width)
;DPRAM Device Selection Address lines (MSBs) = 3
;DPRAM Device Sub-area Address lines (LSBs) = 7
-------------------------------------------------
This device:
;DPRAM Device Size = 128 x 16-bits (2048 bits)
;DPRAM Device Index = 3 (on DPRAM 3-bits MSB address lines)
;DPRAM Device Arguments Length = 72 (1152 bits)
;DPRAM Device Apply Field = 255
;DPRAM Device Available Bit Size  = 2048 bits
;DPRAM Device Transferred Bit Size  = 1152 bits
;DPRAM Device Used Bit Size  = 1144 bits
-------------------------------------------------
Variables Layout:

Order;Check;Start Index;Next Index;Tree Name;Name;Bit Size;Min;Max;MSB First;Active Low;Default;Description;Comment
0;;1144;1140;/FEB_CONFIG/ASICS/ASIC3/Channels/Channel0/DAC4bTrigger_t;DAC4bTrigger_t;4;0;15;1;;15;DAC fast trigger threshold (4-bits, [0-15]);MSb=1140, LSb=1144
1;;1140;1136;/FEB_CONFIG/ASICS/ASIC3/Channels/Channel1/DAC4bTrigger_t;DAC4bTrigger_t;4;0;15;1;;15;DAC fast trigger threshold (4-bits, [0-15]);MSb=1136, LSb=1140
2;;1136;1132;/FEB_CONFIG/ASICS/ASIC3/Channels/Channel2/DAC4bTrigger_t;DAC4bTrigger_t;4;0;15;1;;15;DAC fast trigger threshold (4-bits, [0-15]);MSb=1132, LSb=1136
3;;1132;1128;/FEB_CONFIG/ASICS/ASIC3/Channels/Channel3/DAC4bTrigger_t;DAC4bTrigger_t;4;0;15;1;;15;DAC fast trigger threshold (4-bits, [0-15]);MSb=1128, LSb=1132
4;;1128;1124;/FEB_CONFIG/ASICS/ASIC3/Channels/Channel4/DAC4bTrigger_t;DAC4bTrigger_t;4;0;15;1;;15;DAC fast trigger threshold (4-bits, [0-15]);MSb=1124, LSb=1128
5;;1124;1120;/FEB_CONFIG/ASICS/ASIC3/Channels/Channel5/DAC4bTrigger_t;DAC4bTrigger_t;4;0;15;1;;15;DAC fast trigger threshold (4-bits, [0-15]);MSb=1120, LSb=1124
6;;1120;1116;/FEB_CONFIG/ASICS/ASIC3/Channels/Channel6/DAC4bTrigger_t;DAC4bTrigger_t;4;0;15;1;;15;DAC fast trigger threshold (4-bits, [0-15]);MSb=1116, LSb=1120
7;;1116;1112;/FEB_CONFIG/ASICS/ASIC3/Channels/Channel7/DAC4bTrigger_t;DAC4bTrigger_t;4;0;15;1;;15;DAC fast trigger threshold (4-bits, [0-15]);MSb=1112, LSb=1116
8;;1112;1108;/FEB_CONFIG/ASICS/ASIC3/Channels/Channel8/DAC4bTrigger_t;DAC4bTrigger_t;4;0;15;1;;15;DAC fast trigger threshold (4-bits, [0-15]);MSb=1108, LSb=1112
9;;1108;1104;/FEB_CONFIG/ASICS/ASIC3/Channels/Channel9/DAC4bTrigger_t;DAC4bTrigger_t;4;0;15;1;;15;DAC fast trigger threshold (4-bits, [0-15]);MSb=1104, LSb=1108
