-------------------------------------------------
Memory Layout Global Parameters:
/FEB_CONFIG/FPGA-DAQ/FPGA-DAQ-Channels:
 Mapped to UserSet/Get/Apply Configuration Device[8]
-------------------------------------------------
This device:
;UserSet/GetConfig Parameters:
;;Nb. of Address Bits = 8
;;Nb. of Data Bits = 8
;;Nb. of 8-bits Words  = 186
;;Available Bit Size  = 1488 bits
;;Used Bit Size  = 1488 bits
;Associated UserSet on CHANNEL_DAQ, Index = 1
;;Associated UserSet Error [0] =  Address set for user set config command 'CHANNEL_DAQ' (User Set Index '1') is greater than allowed nb of words in FPGA
;Associated UserGetCmd on CHANNEL_DAQ, Index = 1
;Associated Reset Variable on Direct Parameters = AdcFsmConfLock
;Blocks Transfer Allowed
-------------------------------------------------
Variables Layout:

Order;Check;Start Index;Next Index;Tree Name;Name;Bit Size;Min;Max;MSB First;Active Low;Default;Description;Comment
0;;0;1;/FEB_CONFIG/FPGA-DAQ/FPGA-DAQ-Channels/ASIC0/Channels/Channel0/Hit_En;Hit_En;1;0;1;;;1;Enable Timing Event measurements;
1;;1;2;/FEB_CONFIG/FPGA-DAQ/FPGA-DAQ-Channels/ASIC0/Channels/Channel1/Hit_En;Hit_En;1;0;1;;;1;Enable Timing Event measurements;
2;;2;3;/FEB_CONFIG/FPGA-DAQ/FPGA-DAQ-Channels/ASIC0/Channels/Channel2/Hit_En;Hit_En;1;0;1;;;1;Enable Timing Event measurements;
3;;3;4;/FEB_CONFIG/FPGA-DAQ/FPGA-DAQ-Channels/ASIC0/Channels/Channel3/Hit_En;Hit_En;1;0;1;;;1;Enable Timing Event measurements;
4;;4;5;/FEB_CONFIG/FPGA-DAQ/FPGA-DAQ-Channels/ASIC0/Channels/Channel4/Hit_En;Hit_En;1;0;1;;;1;Enable Timing Event measurements;
5;;5;6;/FEB_CONFIG/FPGA-DAQ/FPGA-DAQ-Channels/ASIC0/Channels/Channel5/Hit_En;Hit_En;1;0;1;;;1;Enable Timing Event measurements;
6;;6;7;/FEB_CONFIG/FPGA-DAQ/FPGA-DAQ-Channels/ASIC0/Channels/Channel6/Hit_En;Hit_En;1;0;1;;;1;Enable Timing Event measurements;
7;;7;8;/FEB_CONFIG/FPGA-DAQ/FPGA-DAQ-Channels/ASIC0/Channels/Channel7/Hit_En;Hit_En;1;0;1;;;1;Enable Timing Event measurements;
8;;8;9;/FEB_CONFIG/FPGA-DAQ/FPGA-DAQ-Channels/ASIC0/Channels/Channel8/Hit_En;Hit_En;1;0;1;;;1;Enable Timing Event measurements;
9;;9;10;/FEB_CONFIG/FPGA-DAQ/FPGA-DAQ-Channels/ASIC0/Channels/Channel9/Hit_En;Hit_En;1;0;1;;;1;Enable Timing Event measurements;
