-------------------------------------------------
Memory Layout Global Parameters:
/FEB_CONFIG/FPGA-Sync-Trig-Phase:
 Mapped to UserSet/Get/Apply Configuration Device[10]
-------------------------------------------------
This device:
;UserSet/GetConfig Parameters:
;;Nb. of Address Bits = 3
;;Nb. of Data Bits = 13
;;Nb. of 13-bits Words  = 4
;;Available Bit Size  = 52 bits
;;Used Bit Size  = 52 bits
;Associated UserSet on SYNC_TRIG_PHASE, Index = 0
;;Associated UserSet Error [0] =  Address set for user set config command 'SYNC_TRIG_PHASE' (User Set Index '0') is greater than allowed nb of words in FPGA
;Associated UserGetCmd on SYNC_TRIG_PHASE, Index = 0
;Associated Reset Variable on Direct Parameters = ReadoutSMRst
-------------------------------------------------
Variables Layout:

Order;Check;Start Index;Next Index;Tree Name;Name;Bit Size;Min;Max;MSB First;Active Low;Default;Description;Comment
0;;0;1;/FEB_CONFIG/FPGA-Sync-Trig-Phase/MCB-SYNC/GTSEn;GTSEn;1;0;1;;;0;Enable the SYNC-GTS signal if checked;
1;;1;2;/FEB_CONFIG/FPGA-Sync-Trig-Phase/MCB-SYNC/ResetEn;ResetEn;1;0;1;;;0;Enable the SYNC-RESET signal if checked;
2;;2;3;/FEB_CONFIG/FPGA-Sync-Trig-Phase/MCB-SYNC/GateCntResetEn;GateCntResetEn;1;0;1;;;0;Enable the Gate Tag/Time counters to be resetted from SYNC-RESET signal if checked;
3;;3;4;/FEB_CONFIG/FPGA-Sync-Trig-Phase/MCB-SYNC/GTSCntResetEn;GTSCntResetEn;1;0;1;;;0;Enable the GTS tag counter to be resetted from SYNC-RESET signal if checked;
4;;4;5;/FEB_CONFIG/FPGA-Sync-Trig-Phase/MCB-SYNC/ReadoutEnEn;ReadoutEnEn;1;0;1;;;0;Enable the SYNC-READOUT_EN signal if checked;
5;;5;6;/FEB_CONFIG/FPGA-Sync-Trig-Phase/MCB-SYNC/SyncGateEn;SyncGateEn;1;0;1;;;0;Enable the SYNC-GATE signal if checked;
6;;6;7;/FEB_CONFIG/FPGA-Sync-Trig-Phase/MCB-SYNC/LedSyncEn;LedSyncEn;1;0;1;;;0;Enable the SYNC-LED_SYNC signal if checked;
7;;7;8;/FEB_CONFIG/FPGA-Sync-Trig-Phase/MCB-SYNC/EventEn;EventEn;1;0;1;;;0;Enable the SYNC-EVENT signal if checked;
8;;8;9;/FEB_CONFIG/FPGA-Sync-Trig-Phase/TRIGGERS/Trig-generator/extGlobalTrig;extGlobalTrig;1;0;1;;;0;Internal generator(0) or External trigger(1);
9;;9;10;/FEB_CONFIG/FPGA-Sync-Trig-Phase/TRIGGERS/Trig-generator/L1AdcCalsync;L1AdcCalsync;1;0;1;;;0;Calibration(1) or Acquisition(0) mode for ADC synchro signal;
