Short Name;Tree Name;Type;Description;Remarks
HG;FPGA-DAQ.FPGA-DAQ-Channels.ASIC0.Thresholds.FPGA-Analog-Compare.HG;UInt16;High Gain threshold to push DAQ from ADC values (12-bits [0-4095])
HG;FPGA-DAQ.FPGA-DAQ-Channels.ASIC0.Thresholds.BaselineDAC.HG;UInt16;High Gain DAC baseline set (16-bits [0-65535])
HG;FPGA-DAQ.FPGA-DAQ-Channels.ASIC1.Thresholds.FPGA-Analog-Compare.HG;UInt16;High Gain threshold to push DAQ from ADC values (12-bits [0-4095])
HG;FPGA-DAQ.FPGA-DAQ-Channels.ASIC1.Thresholds.BaselineDAC.HG;UInt16;High Gain DAC baseline set (16-bits [0-65535])
HG;FPGA-DAQ.FPGA-DAQ-Channels.ASIC2.Thresholds.FPGA-Analog-Compare.HG;UInt16;High Gain threshold to push DAQ from ADC values (12-bits [0-4095])
HG;FPGA-DAQ.FPGA-DAQ-Channels.ASIC2.Thresholds.BaselineDAC.HG;UInt16;High Gain DAC baseline set (16-bits [0-65535])
HG;FPGA-DAQ.FPGA-DAQ-Channels.ASIC3.Thresholds.FPGA-Analog-Compare.HG;UInt16;High Gain threshold to push DAQ from ADC values (12-bits [0-4095])
HG;FPGA-DAQ.FPGA-DAQ-Channels.ASIC3.Thresholds.BaselineDAC.HG;UInt16;High Gain DAC baseline set (16-bits [0-65535])
HG;FPGA-DAQ.FPGA-DAQ-Channels.ASIC4.Thresholds.FPGA-Analog-Compare.HG;UInt16;High Gain threshold to push DAQ from ADC values (12-bits [0-4095])
HG;FPGA-DAQ.FPGA-DAQ-Channels.ASIC4.Thresholds.BaselineDAC.HG;UInt16;High Gain DAC baseline set (16-bits [0-65535])
HG;FPGA-DAQ.FPGA-DAQ-Channels.ASIC5.Thresholds.FPGA-Analog-Compare.HG;UInt16;High Gain threshold to push DAQ from ADC values (12-bits [0-4095])
HG;FPGA-DAQ.FPGA-DAQ-Channels.ASIC5.Thresholds.BaselineDAC.HG;UInt16;High Gain DAC baseline set (16-bits [0-65535])
HG;FPGA-DAQ.FPGA-DAQ-Channels.ASIC6.Thresholds.FPGA-Analog-Compare.HG;UInt16;High Gain threshold to push DAQ from ADC values (12-bits [0-4095])
HG;FPGA-DAQ.FPGA-DAQ-Channels.ASIC6.Thresholds.BaselineDAC.HG;UInt16;High Gain DAC baseline set (16-bits [0-65535])
HG;FPGA-DAQ.FPGA-DAQ-Channels.ASIC7.Thresholds.FPGA-Analog-Compare.HG;UInt16;High Gain threshold to push DAQ from ADC values (12-bits [0-4095])
HG;FPGA-DAQ.FPGA-DAQ-Channels.ASIC7.Thresholds.BaselineDAC.HG;UInt16;High Gain DAC baseline set (16-bits [0-65535])
